transaction_id,merchant_raw,amount,currency,timestamp,channel,location,mcc_code,l1,l1_id,l2,l2_id,l3,l3_id
TXN_20241121_000465,SUBWAY,508.9,USD,2024-11-22T02:30:22.473473,online,,4111,Travel,TRV,Travel - Local,TRV-LOC,Travel - Local - Metro,TRV-LOC-MET
TXN_20241121_000728,CAR SERVICE * TCKWJZE9,20.61,USD,2024-11-22T12:36:07.473473,mobile,"Los Angeles, CA",7538,Transportation,TRN,Transportation - Maintenance,TRN-MNT,Transportation - Maintenance - Service,TRN-MNT-SRV
TXN_20241121_000862,GYM 731,39.82,USD,2024-11-22T13:32:36.473473,online,Online,7997,Personal Care,PER,Personal Care - Gym,PER-GYM,Personal Care - Gym - Membership,PER-GYM-MEM
TXN_20241121_000260,SQ * VISA,1924.21,EUR,2024-11-24T04:54:31.473473,mobile,"Chicago, IL",9399,Travel,TRV,Travel - International,TRV-INT,Travel - International - Visa,TRV-INT-VIS
TXN_20241121_000643,AMAZON PRIME #1252,200.0,USD,2024-11-24T05:22:35.473473,online,,4899,Entertainment,ENT,Entertainment - Streaming,ENT-STR,Entertainment - Streaming - Prime,ENT-STR-PRM
TXN_20241121_000747,AIRBNB BANGALORE #3002 01762,700.92,USD,2024-11-24T05:48:25.473473,pos,"Delhi, DL",7011,Travel,TRV,Travel - Accommodation,TRV-ACC,Travel - Accommodation - Hotel,TRV-ACC-HTL
TXN_20241121_000583,SBUX * 1WNGYPTO 68015,51.54,GBP,2024-11-24T11:49:09.473473,pos,"Los Angeles, CA",5814,Dining,DIN,Dining - Coffee Shops,DIN-COF,Dining - Coffee Shops - Starbucks,DIN-COF-STB
TXN_20241121_000295,FUEL IL,6.6,USD,2024-11-24T20:17:58.473473,pos,"Ahmedabad, GJ",5541,Transportation,TRN,Transportation - Fuel,TRN-FUL,Transportation - Fuel - Diesel,TRN-FUL-DIE
TXN_20241121_000580,HOTSTAR,24.32,USD,2024-11-24T22:15:01.473473,mobile,"Delhi, DL",4899,Entertainment,ENT,Entertainment - Streaming,ENT-STR,Entertainment - Streaming - Other,ENT-STR-OTH
TXN_20241121_000877,BEST BUY MUMBAI,99.72,EUR,2024-11-24T22:43:24.473473,pos,"Houston, TX",5732,Shopping,SHP,Shopping - Retail,SHP-RET,Shopping - Retail - Electronics,SHP-RET-ELC
TXN_20241121_000190,ZARA * B8YLXG1M 819042,94.36,USD,2024-11-25T09:05:59.473473,pos,"San Antonio, TX",5651,Shopping,SHP,Shopping - Retail,SHP-RET,Shopping - Retail - Clothing,SHP-RET-CLO
