transaction_id,merchant_raw,amount,currency,timestamp,channel,location,mcc_code,l1,l1_id,l2,l2_id,l3,l3_id
TXN_20241122_049457,SPOTIFY HYDERABAD #4408 830,151.63,USD,2025-03-14T12:08:11.754425,online,,4899,Entertainment,ENT,Entertainment - Streaming,ENT-STR,Entertainment - Streaming - Other,ENT-STR-OTH
TXN_20241122_039132,WALMART HYDERABAD #6497,209.07,EUR,2025-07-01T09:42:43.754425,mobile,"Chicago, IL",5411,Shopping,SHP,Shopping - Groceries,SHP-GRO,Shopping - Groceries - Supermarket,SHP-GRO-SUP
TXN_20241122_032601,CLOTHING STORE INC 2041,213.41,INR,2025-09-13T21:28:00.754425,pos,"Houston, TX",5651,Shopping,SHP,Shopping - Retail,SHP-RET,Shopping - Retail - Clothing,SHP-RET-CLO
TXN_20241122_014588,PAYPAL * CAFE COFFEE DAY 424,70.63,USD,2025-02-09T10:32:02.754425,online,,5814,Dining,DIN,Dining - Coffee Shops,DIN-COF,Dining - Coffee Shops - Local,DIN-COF-LOC
TXN_20241122_040165,PARKING FEE VA #4308,100.0,USD,2025-03-04T20:30:43.754425,atm,"Los Angeles, CA",7523,Transportation,TRN,Transportation - Parking,TRN-PRK,Transportation - Parking - Fee,TRN-PRK-FEE
TXN_20241122_016959,STATIONERY STORE,477.34,EUR,2025-09-04T16:30:12.754425,online,Web Purchase,5943,Business Expenses,BUS,Business Expenses - Office,BUS-OFC,Business Expenses - Office - Supplies,BUS-OFC-SUP
TXN_20241122_001702,STOCK LLC,2126.04,GBP,2024-12-16T19:11:41.754425,atm,"Philadelphia, PA",6211,Financial Services,FIN,Financial Services - Investment,FIN-INV,Financial Services - Investment - Trading,FIN-INV-TRD
TXN_20241122_005360,ONLINE COURSE * 0QLLS2T2,4810.03,USD,2025-10-22T14:27:52.754425,online,,8299,Education,EDU,Education - Courses,EDU-CRS,Education - Courses - Online,EDU-CRS-ONL
TXN_20241122_035074,FLIPKART #524 69098,143.42,INR,2025-01-10T17:56:57.754425,online,,5942,Shopping,SHP,Shopping - Online,SHP-ONL,Shopping - Online - Flipkart,SHP-ONL-FLP
TXN_20241122_004252,REPAIR NC,59.55,GBP,2025-07-29T09:14:35.754425,pos,"Kolkata, WB",7538,Transportation,TRN,Transportation - Maintenance,TRN-MNT,Transportation - Maintenance - Service,TRN-MNT-SRV
TXN_20241122_043436,CHARITY #1656 719611,48.87,USD,2025-05-12T11:25:58.754425,atm,"Pune, MH",8398,Charitable,CHR,Charitable - Donations,CHR-DON,Charitable - Donations - NGO,CHR-DON-NGO
TXN_20241122_049122,WATER BILL,126.69,EUR,2025-05-05T23:53:38.754425,atm,"Kolkata, WB",4900,Utilities,UTL,Utilities - Water,UTL-WAT,Utilities - Water - Bill,UTL-WAT-BIL
TXN_20241122_033556,NONPROFIT TX #9868,151.73,EUR,2025-10-08T07:59:53.754425,pos,"Houston, TX",8398,Charitable,CHR,Charitable - Nonprofits,CHR-NPR,Charitable - Nonprofits - Contribution,CHR-NPR-CON
TXN_20241122_049919,BOOKMYSHOW VA #4539,62.35,USD,2025-09-23T07:24:52.754425,atm,"Hyderabad, TG",7922,Entertainment,ENT,Entertainment - Events,ENT-EVT,Entertainment - Events - Concerts,ENT-EVT-CON
