,precision,recall,f1-score,support
Business Expenses,1.0,1.0,1.0,186.0
Charitable,1.0,1.0,1.0,183.0
Dining,1.0,1.0,1.0,2170.0
Education,0.9549071618037135,0.9523809523809523,0.9536423841059603,378.0
Entertainment,1.0,1.0,1.0,920.0
Financial Services,0.996415770609319,1.0,0.9982046678635548,278.0
Healthcare,1.0,0.9974489795918368,0.9987228607918263,392.0
Housing,1.0,1.0,1.0,269.0
Miscellaneous,1.0,1.0,1.0,86.0
Personal Care,1.0,1.0,1.0,390.0
Shopping,0.9890042761148442,0.9896088019559902,0.9893064466849985,1636.0
Technology,1.0,1.0,1.0,469.0
Transportation,1.0,1.0,1.0,1105.0
Travel,1.0,1.0,1.0,831.0
Utilities,1.0,1.0,1.0,707.0
accuracy,0.9964,0.9964,0.9964,0.9964
macro avg,0.9960218139018584,0.9959625822619187,0.9959917572964228,10000.0
weighted avg,0.9963969487115081,0.9964,0.9963982427065173,10000.0
